Customer_Age,Education_Level,Income_Category
45,High School,70000
49,Graduate,30000
51,Graduate,100000
40,High School,30000
40,Uneducated,70000
44,Graduate,50000
32,High School,70000
37,Uneducated,70000
48,Graduate,100000
42,Uneducated,130000
56,College,100000
35,Graduate,70000
57,Graduate,30000
48,Post-Graduate,100000
61,High School,50000
47,Doctorate,70000
62,Graduate,30000
41,High School,50000
41,Graduate,30000
59,High School,50000
47,High School,50000
53,Uneducated,70000
41,Graduate,70000
53,College,30000
58,Graduate,100000
55,College,30000
55,Graduate,30000
42,High School,30000
57,Graduate,50000
45,Graduate,100000
50,College,50000
49,High School,70000
49,Uneducated,100000
56,Doctorate,70000
59,Doctorate,50000
46,High School,100000
52,College,100000
54,Graduate,30000
66,High School,30000
56,Graduate,130000
49,Graduate,30000
49,Graduate,30000
56,Uneducated,50000
42,High School,70000
48,Graduate,70000
39,High School,70000
44,Post-Graduate,130000
53,High School,130000
51,Uneducated,100000
57,College,70000
44,Uneducated,30000
49,Graduate,70000
50,Doctorate,100000
51,Graduate,130000
55,Graduate,30000
54,Graduate,70000
42,Uneducated,100000
44,College,70000
53,Graduate,100000
44,Graduate,30000
37,Uneducated,30000
49,Graduate,70000
47,Graduate,100000
47,Graduate,70000
53,Graduate,100000
52,Graduate,70000
53,High School,130000
43,Uneducated,30000
44,High School,70000
51,High School,30000
49,High School,100000
45,Graduate,50000
53,Graduate,100000
64,Graduate,30000
45,Graduate,50000
53,Doctorate,50000
56,College,130000
53,Graduate,130000
44,Graduate,30000
44,High School,70000
43,Post-Graduate,30000
53,Post-Graduate,130000
44,Uneducated,70000
57,Graduate,70000
42,High School,70000
54,Uneducated,30000
48,Graduate,100000
49,Graduate,100000
52,High School,100000
50,High School,100000
49,Doctorate,70000
53,High School,30000
50,Graduate,130000
55,Doctorate,30000
53,High School,100000
47,High School,50000
55,College,130000
47,Graduate,70000
58,Graduate,130000
53,Graduate,100000
52,High School,50000
50,Uneducated,30000
42,Graduate,30000
57,Graduate,100000
52,Graduate,100000
47,Doctorate,30000
44,Graduate,50000
53,High School,70000
45,College,70000
39,Post-Graduate,30000
48,High School,30000
54,Graduate,100000
59,Graduate,30000
59,College,70000
48,Uneducated,30000
41,Graduate,30000
55,Graduate,130000
41,High School,100000
40,High School,100000
50,Graduate,50000
47,Uneducated,70000
53,College,30000
48,High School,50000
49,Doctorate,130000
43,Graduate,30000
56,High School,100000
46,Uneducated,70000
50,Uneducated,50000
51,Uneducated,30000
47,Uneducated,30000
58,Uneducated,30000
46,Graduate,100000
53,High School,70000
52,High School,30000
50,High School,100000
41,High School,50000
45,Graduate,50000
53,Uneducated,100000
67,Graduate,30000
57,Uneducated,50000
59,Uneducated,50000
45,Uneducated,50000
51,Graduate,100000
59,Uneducated,30000
53,Graduate,70000
47,Graduate,70000
49,Post-Graduate,100000
60,College,30000
50,High School,30000
57,Graduate,100000
43,Graduate,100000
57,Graduate,30000
54,Doctorate,130000
51,Post-Graduate,30000
47,High School,30000
41,High School,130000
53,Uneducated,100000
68,High School,30000
59,College,70000
44,Graduate,70000
48,College,100000
47,Graduate,70000
47,Graduate,70000
43,High School,30000
55,Graduate,30000
59,Post-Graduate,70000
63,Graduate,50000
58,College,130000
53,High School,30000
52,Graduate,130000
48,High School,70000
43,High School,50000
48,College,30000
43,Graduate,30000
41,High School,100000
44,Uneducated,30000
60,Uneducated,30000
44,Graduate,100000
48,Graduate,50000
44,Graduate,30000
41,High School,100000
45,College,70000
47,Uneducated,30000
51,Graduate,30000
51,Graduate,130000
60,Uneducated,50000
41,Graduate,130000
44,Post-Graduate,100000
43,College,70000
55,College,70000
52,Uneducated,100000
44,Graduate,100000
41,Uneducated,50000
39,High School,100000
49,College,50000
45,College,30000
54,Graduate,100000
49,Uneducated,100000
46,High School,130000
47,Graduate,70000
44,Doctorate,70000
50,Post-Graduate,130000
73,High School,50000
59,High School,50000
70,High School,30000
55,High School,30000
45,Uneducated,130000
45,Uneducated,50000
